# Base de correspondance checksum -> titre pour les cartouches SNES lues
# par le SN Operator. Format : checksum;titre;tags;region
6795;Jungle Strike;;Japon
980b;Street Fighter II Turbo;;Japon
9324;Akumajo Dracula;;Japon
9ea9;Contra Spirits;;Japon
99fa;Jerry Boy;;Japon
a2c3;Mother 2;;Japon
a81f;Super Mario Collection;;Japon
b3b3;Dragon Ball Z Super Butoden 3;;Japon
b856;Bahamut Lagoon;;Japon
44d1;Rockman 7;;Japon
7536;Prince of Persia;;Japon
269a;Dragon Ball Z Super Butoden 2;;Japon
0492;Final Fantasy USA: Mystic Quest;;Japon
