ID,title
AA A-00000-00,Record of Lodoss War (Demo)
AI T-109015-00,My Paint
Fresh Cleaner,Fresh Cleaner
G-6043,Fahrenheit
GM 00-2501-14,240pSuite_USA
GM 00000000-00,PopfulMail (Demo)
GM 00044014-00,Vay - Ryuusei no Yoroi
GM 00044024-00,Quiz Tonosama no Yabou
GM G-006039-00,Tomcat Alley
GM G-6004-00,Burai - Yatsudama no Yuushi Densetsu
GM G-6005-00,Dark Wizard - Yomigaerishi Yami no Madoushi
GM G-6006-00,Warau Salesman
GM G-6007-100,Seima Densetsu 3x3 Eyes
GM G-6008-00,SimEarth
GM G-6010-00,Pro Yakyuu Super League CD
GM G-6011-00,Wing Commander
GM G-6012-100,Sega Classic Arcade Collection - Limited Edition
GM G-6012-101,Sega Classics Arcade Collection (5-in-1)
GM G-6013-00,Final Fight CD
GM G-6013-01,Final Fight CD (Rev A)
GM G-6017-00,Dynamic Country Club
GM G-6019-00,Egawa Suguru no Super League CD
GM G-6020-00,Mega Schwarzschild
GM G-6021-00,Sonic The Hedgehog CD (Demo)
GM G-6021-10 105,Sonic The Hedgehog CD (Beta 2)
GM G-6024-00,Record of Lodoss War
GM G-6025-00,Night Trap (Demo)
GM G-6026-00,After Armageddon Gaiden - Majuu Toushouden Eclipse
GM G-6027-00,Yumemi Yakata no Monogatari
GM G-6028-00,Arslan Senki
GM G-6029-00,PopfulMail
GM G-6031-00,AX-101
GM G-6032-00,Game no Kandume Vol. 1
GM G-6033-00,Game no Kandume Vol. 2
GM G-6034-00,Heavenly Symphony - Formula One World Championship 1993 (Demo)
GM G-6035-00,Dragon's Lair
GM G-6036-00,Shining Force CD
GM G-6037-00,Prize Fighter (Disc 1)
GM G-6038-00,Jurassic Park
GM G-6040-00,Double Switch
GM G-6041,Ecco the Dolphin CD (Disc 2) (Ecco the Dolphin II)
GM G-6044-00,Surgical Strike
GM MK 0xxxx-01,Super Strike Trilogy (Unl)
GM MK-004429-00,Tomcat Alley (Spain)
GM MK-4201-00,Joe Montana's NFL Football
GM MK-4202-00,NFL's Greatest - San Francisco vs. Dallas 1978-1993
GM MK-4206-00,Prize Fighter (Disc 1) (Alt)
GM MK-4301-00,Rise of the Dragon
GM MK-4401-00,Batman Returns
GM MK-4402,Cobra Command
GM MK-4402-50,Cobra Command
GM MK-4404,Sol-Feace (RE2)
GM MK-4407-00,Sonic CD
GM MK-4407-50-00,Sonic CD (Beta 2)
GM MK-4408-00,Ecco the Dolphin
GM MK-4410-00,Final Fight CD
GM MK-4411-00,Jurassic Park (Spain)
GM MK-4412-00,"Amazing Spider-Man vs. The Kingpin, The"
GM MK-4412-01,"Amazing Spider-Man vs. The Kingpin, The (Rev 1)"
GM MK-4414-00,Citizen X (Unl)
GM MK-4415-00,After Burner III
GM MK-4416-00,Robo Aleste
GM MK-4417-50,Time Gal
GM MK-4419-00,Double Switch
GM MK-4419-00 SILPHEED,Silpheed
GM MK-4420-00,Dracula Unleashed (Disc 1) (Made in Japan)
GM MK-4423-50,Silpheed
GM MK-4427-00,Eternal Champions - Challenge from the Dark Side
GM MK-4427-01,Eternal Champions - Challenge from the Dark Side (RE)
GM MK-4428-00,Tomcat Alley
