ID,title
0000-00-00-00-00-00-00_None,Janshin Densetsu
1904-01-01-00-00-00-00_A4CD,Big Tournament Golf ~ Neo Turf Masters
1904-12-95-71-65-4-_0083,Puzzle Bobble ~ Bust-a-Move
1994-08-05-13-05-18-00_MAJONG LAYOUT,Mahjong-kyou Retsuden
1994-08-05-15-02-17-00_039 KING OF THE MONSTERS 2,The - King of the Monsters 2
1994-08-05-21-14-07-00_P034 FOOTBALL FRENZY,Football Frenzy
1994-08-07-15-52-10-00_007 ASO2,ASO II ~ Alpha Mission II
1994-08-07-16-15-46-00_P047 FATAL FURY 2,Garou Densetsu 2 ~ Fatal Fury 2
1994-08-07-16-59-23-00_041 BASEBALL STARS  2,Baseball Stars 2
1994-08-07-18-36-43-00_P058 FATALFURY SPECIAL,Garou Densetsu Special ~ Fatal Fury Special
1994-08-07-21-11-09-00_BOWLING LAYOUT,League Bowling
1994-08-07-22-31-33-00_P024 LAST RESORT,Last Resort
1994-08-08-00-51-30-00_033 FATAL FURY 1,Garou Densetsu~ Fatal Fury
1994-08-08-01-43-04-00_BURNING LAYOUT,Burning Fight
1994-08-08-02-57-59-00_P011 SUPER SPY,Super Spy
1994-08-08-04-43-43-00_NAM LAYOUT,Nam-1975
1994-08-08-05-01-24-00_ART OF FIGHT LAYOUT,Ryuuko no Ken ~ Art of Fighting
1994-08-08-07-40-02-00_JOYJOY LAYOUT,Joy Joy Kid ~ Puzzled
1994-08-11-11-04-43-00_P003 TOP PLAYER'S GOLF,Top Player's Golf
1994-08-11-11-59-30-00_P056 ART OF FIGHTING 2,Ryuuko no Ken 2 ~ Art of Fighting 2
1994-08-11-15-14-49-00_045 SAMURAI SPIRITS,Samurai Spirits ~ Samurai Shodown
1994-08-16-19-07-34-00_SUPERSIDEKICKS2,Tokuten-ou 2 ~ Super Sidekicks 2
1994-08-16-23-33-20-00_SW2_CD01,Sonic Wings 2 ~ Aero Fighters 2
1994-09-05-09-15-06-00_046 TOP HUNTER,Top Hunter - Roddy & Cathy
1994-10-06-11-23-00-00_P055 KING OF FIGHTERS,King of Fighters '94
1994-10-08-14-35-34-00_005 MAGICIAN LOAD,Magician Lord
1994-10-08-17-09-36-00_038 RALLY CHASE,Rally Chase
1994-10-08-18-01-28-00_050 NINJA COMMANDO,Ninja Commando
1994-10-08-18-46-58-00_022 RAGUY,Raguy ~ Blue's Journey
1994-10-08-21-07-38-00_037 CROSSED SWORDS,Crossed Swords
1994-10-11-10-43-43-00_050 NINJA COMBAT,Ninja Combat
1994-10-18-10-12-51-00_P058 FATALFURY SPECIAL,Garou Densetsu Special ~ Fatal Fury Special
