ID,title
ALCH-00001,Katakamuna: Ushinawareta Ingaritsu [Deluxe Pack]
ALCH-00002,Baldr Force EXE: Mega Box
ALCH-00003,Chocolat Maid Cafe Curio [Limited Edition]
ALCH-00004,Duel Savior Destiny [Messiah Box]
ALCH-00005,Haru no Ashioto: Step of Spring [Paku Paku Pack]
ALCH-00006,Baldr Force EXE (Simlacrum Pack Alchemist Best)
ALCH-00007,Parfait: Chocolat Second Style [Limited Edition]
ALCH-00008,Aria: The Natural ~Tooi Yume no Mirage~ [Limited Edition]
ALCH-00009,Higurashi no Naku Koro ni Matsuri [First Print Limited Edition]
ALCH-00010,Kono Aozora ni Yakusoku wo: Melody of the Sun and Sea [Limited Edition]
ALCH-00011,Pure x Cure RE:Covery [Koi no Kyuukyuu Set]
ALCH-00012,Baldr Bullet: Equilibrium: Genteiban
ALCH-00014,Aria: The Origination ~Aoi Hoshi no El Cielo~ [Limited Edition]
ALCH-00015,Sugar+Spice!: Anoko no Suteki na Nanimokamo [First Press Limited Edition]
ALCH-00016,Koisuru Otome to Shugo no Tate: The Shield of Aigis [Limited Edition]
ALCH-00017,Triggerheart Exelica Enhanced [Nendroid Super Set]
ALCH-00021,Sekirei: Mirai Kara no Okurimono [Special Pack]
ALCH-00027,Suzunone Seven: Rebirth Knot [Limited Edition]
ALCH-00028,Hana to Otome ni Shukufuku wo: Harukaze no Okurimono [Saint Box]
ARP2-01201,Armen Noir [Limited Edition]
ARZE-66071,Shadow Hearts: From the New World: Starter Pack
CF00-15018,Secret of Evangelion [Limited Edition Ayanami Version]
CF00-15019,Secret of Evangelion [Limited Edition Asuka Version]
CF00-15022,Memories Off #5: Encore [Limited Edition]
CF00-15024,12Riven -The Psi-Climinal of integral [Soundtrack Edition]
CF00-15026,Princess Maker 5 [Limited Edition]
CF00-22006,Shinseiki Evangelion: Koutetsu no Girlfriend Special Edition [Best Hit Selection]
CF00-22019,Infinity Plus
CPCS-01001,Capcom vs. SNK 2: Millionaire Fighting 2001: Modem Pack
CPCS-01002,Gun Survivor 3: Dino Crisis [with GunCon2]
CPCS-01003,Auto Modellista: Modem Pack
CPCS-01004,Marvel vs Capcom 2 [Modem Pack]
CPCS-01005,Gun Survivor 4: Biohazard: Heroes Never Die [with GunCon2]
CPCS-01007,Hyper Street Fighter II: The Anniversary Edition: Special Anniversary Pack
CPCS-01009,Street Fighter III: 3rd Strike: Fight for the Future: The Limited Edition
CPCS-01019,Black Cat: Kikai Shikake no Tenshi: Limited Pack
CPCS-01020,Monster Hunter 2: DX Hunters Box
