SCES_020.66;Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It);
"SLPM_867.70
SLPS_002.22";Bio Hazard (Japan) (Rev 1);
SLPS_023.00;Biohazard 3 - Last Escape (Japan);
SLUS_006.63;Bushido Blade 2 (USA);
"SLUS_010.41
SLUS_010.41GH
SLUS_010.41GH_F";Chrono Cross (USA, Canada) (Disc 1);
"SLUS_010.80
SLUS_010.80GH
SLUS_010.80GH_F";Chrono Cross (USA, Canada) (Disc 2);
SLUS_005.39;Clock Tower (USA);
SLUS_006.95;Clock Tower II - The Struggle Within (USA);
SLUS_006.65;Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies);
SLUS_006.67;Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet);
SLES_027.93;Crisis Beat (Europe);
SLUS_006.19;Diablo (USA) (En,Fr,De,Sv);
"SLUS_008.42
SLUS_008.42GH";Driver - You Are the Wheelman (USA) (Rev 1);
"SLES_034.28
SLES_034.28_GER";Evil Dead - Hail to the King (Europe) (Disc 1);
"SLES_134.28
SLES_134.28_GER";Evil Dead - Hail to the King (Europe) (Disc 2);
SLUS_010.72;Evil Dead - Hail to the King (USA) (Disc 1);
SLUS_013.26;Evil Dead - Hail to the King (USA) (Disc 2);
SLES_000.97;Exhumed (Europe) (En,Fr,De,Es);
SLUS_005.33;Felony 11-79 (USA);
"SCES_038.40
SCES_038.40_ANZ";Final Fantasy Anthology - European Edition - Final Fantasy IV (Europe, Australia);
"SCES_138.40
SCES_138.40_ANZ";Final Fantasy Anthology - European Edition - Final Fantasy V (Europe, Australia);
SLUS_008.79;Final Fantasy Anthology - Final Fantasy V (USA);
SLUS_009.00;Final Fantasy Anthology - Final Fantasy VI (USA);
SLUS_013.60;Final Fantasy Chronicles - Final Fantasy IV (USA, Canada);
SLUS_013.63;Final Fantasy Chronicles - Chrono Trigger (USA, Canada);
SLUS_015.41;Final Fantasy Origins (USA);
"SLUS_015.41
SLUS_015.41F
SLUS_015.41GH";Final Fantasy Origins (USA, Canada) (Rev 1);
SCUS_942.21;Final Fantasy Tactics (USA);
"SCES_038.28
SCES_038.28_ANZ";Final Fantasy VI (Europe, Australia);
SLPS_007.00;Final Fantasy VII (Japan) (Disc 1);
SLPS_007.01;Final Fantasy VII (Japan) (Disc 2);
SLPS_007.02;Final Fantasy VII (Japan) (Disc 3);
SCES_008.67;Final Fantasy VII (Europe) (Disc 1);
SCES_108.67;Final Fantasy VII (Europe) (Disc 2);
SCES_208.67;Final Fantasy VII (Europe) (Disc 3);
SCUS_941.63;Final Fantasy VII (USA) (Disc 1);
SCUS_941.63;Final Fantasy VII (USA) (Disc 2);
SCUS_941.63;Final Fantasy VII (USA) (Disc 3);
